epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.127,1.52355,3.13528,1.22351,0.00322,0.96667,0.04264,0.01201,1.37727,3.86553,0.98158,0.000647059,0.000647059,0.000647059
2,455.163,1.24085,1.72123,1.02861,0.52675,0.28333,0.3464,0.22955,1.44785,3.69044,1.11366,0.00130072,0.00130072,0.00130072
3,692.623,1.22621,1.53324,1.02529,0.91705,0.71667,0.88271,0.54233,1.30833,2.17515,1.04859,0.00194118,0.00194118,0.00194118
4,1020.18,1.18113,1.34686,1.0295,0.93338,0.73333,0.82014,0.52533,1.38305,1.74656,1.1208,0.0019406,0.0019406,0.0019406
5,1282.12,1.19335,1.22936,1.02804,0.88871,0.73333,0.84231,0.53303,1.30605,1.59826,1.03848,0.0019208,0.0019208,0.0019208
6,1565.93,1.20046,1.07778,1.03013,0.92854,0.93333,0.93635,0.57082,1.36742,1.14544,0.98402,0.001901,0.001901,0.001901
7,1816.65,1.14701,0.95575,0.99764,0.83959,0.9,0.9256,0.55546,1.35637,1.2682,1.00602,0.0018812,0.0018812,0.0018812
8,2066.54,1.10153,0.92343,0.99569,0.9732,0.9,0.97867,0.6673,1.13621,0.83798,0.93223,0.0018614,0.0018614,0.0018614
9,2309.75,1.09921,0.83592,0.96791,0.94823,0.85,0.8934,0.54324,1.39034,1.10191,1.03557,0.0018416,0.0018416,0.0018416
10,2577.58,1.09002,0.80639,0.97906,0.95827,0.96667,0.98873,0.65735,1.14004,0.80005,0.96154,0.0018218,0.0018218,0.0018218
11,2818.56,1.04895,0.76971,0.95704,0.95906,0.88333,0.95735,0.66838,1.09786,0.82306,0.96443,0.001802,0.001802,0.001802
12,3064.19,1.07132,0.74328,0.97174,0.96657,0.96379,0.98814,0.67522,1.08566,0.71155,0.92708,0.0017822,0.0017822,0.0017822
13,3305.39,1.10736,0.73011,0.9753,0.95281,0.96667,0.99032,0.65327,1.15778,0.73101,0.96169,0.0017624,0.0017624,0.0017624
14,3550.19,1.11518,0.73912,0.97508,0.91552,0.91667,0.97568,0.62015,1.19209,0.76739,0.95208,0.0017426,0.0017426,0.0017426
15,3790.57,1.05715,0.7181,0.96196,0.96646,0.96052,0.98017,0.64785,1.11767,0.76197,0.93744,0.0017228,0.0017228,0.0017228
16,4032.35,1.04162,0.69961,0.95849,0.9226,0.9934,0.9902,0.67324,1.10048,0.68993,0.9226,0.001703,0.001703,0.001703
